player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
Ben Davies 660,DL,0,0,0,0.0,0.0,90,Manchester United,Tottenham,1,0,0
Eric Dier 643,DMC,0,0,0,0.0,0.0,78,Manchester United,Tottenham,1,0,0
Kyle Walker 638,DR,0,0,1,0.0730578526854515,0.0,90,Manchester United,Tottenham,1,0,0
Luke Shaw 1006,DL,0,0,0,0.0,0.0,90,Manchester United,Tottenham,1,0,0
Steve Cook 458,DC,0,0,0,0.0,0.0,90,Bournemouth,Aston Villa,0,1,0
John Stones 586,DC,0,0,0,0.0,0.0,90,Everton,Watford,2,2,0
Seamus Coleman 585,DR,0,0,0,0.0,0.0,90,Everton,Watford,2,2,0
Jeffrey Schlupp 757,DL,0,0,1,0.0302044991403818,0.0,90,Leicester,Sunderland,4,2,0
Joel Ward 510,DR,0,0,1,0.0120090004056692,0.6316959857940674,90,Norwich,Crystal Palace,1,3,1
César Azpilicueta 681,DL,0,0,0,0.0,0.0,90,Chelsea,Swansea,2,2,0
Jonjo Shelvey 769,DMC,0,0,1,0.0254235006868839,0.7003909945487976,90,Chelsea,Swansea,2,2,6
Cédric Soares 847,DR,0,1,1,0.0608422011137008,0.1098100021481514,48,Newcastle United,Southampton,2,2,2
Jack Colback 767,DMC,0,0,0,0.0,0.1206210032105445,90,Newcastle United,Southampton,2,2,2
Matt Targett 884,DL,0,0,0,0.0,0.0,90,Newcastle United,Southampton,2,2,0
Aaron Cresswell 534,DL,0,0,1,0.0199724994599819,0.0229969006031751,90,Arsenal,West Ham,0,2,1
Angelo Ogbonna 528,DC,0,0,0,0.0,0.0,90,Arsenal,West Ham,0,2,0
James Tomkins 530,DR,0,0,0,0.0,0.0292690005153417,90,Arsenal,West Ham,0,2,1
James Milner 489,DMC,0,0,0,0.0,0.0877185985445976,90,Stoke,Liverpool,0,1,1
Jordan Henderson 605,DMC,0,0,0,0.0,0.0,90,Stoke,Liverpool,0,1,0
Joseph Gomez 987,DL,0,1,0,0.0,0.0136492997407913,90,Stoke,Liverpool,0,1,1
Nathaniel Clyne 603,DR,0,0,0,0.0,0.0281047001481056,90,Stoke,Liverpool,0,1,1
Craig Dawson 804,DC,0,0,1,0.1322350054979324,0.0,90,West Bromwich Albion,Manchester City,0,3,0
Luke Shaw 1006,DL,0,0,0,0.0,0.0,90,Aston Villa,Manchester United,0,1,0
Cédric Soares 847,DR,0,0,1,0.0189861003309488,0.0571287013590335,90,Southampton,Everton,0,3,1
John Stones 586,DC,0,0,0,0.0,0.0,90,Southampton,Everton,0,3,0
Matt Targett 884,DL,0,0,1,0.0128888003528118,0.0,90,Southampton,Everton,0,3,0
Seamus Coleman 585,DR,0,1,0,0.0,0.1141199991106987,90,Southampton,Everton,0,3,1
Jack Colback 767,DMC,0,0,0,0.0,0.0,90,Swansea,Newcastle United,2,0,0
Jonjo Shelvey 769,DMC,0,1,5,0.1497299969196319,0.9161570072174072,90,Swansea,Newcastle United,2,0,3
Ben Davies 660,DL,0,1,1,0.0717628970742225,0.3038550019264221,90,Tottenham,Stoke,2,2,1
Eric Dier 643,DMC,1,0,1,0.1273970007896423,0.1442839950323104,90,Tottenham,Stoke,2,2,2
Kyle Walker 638,DR,0,0,0,0.0,0.0,90,Tottenham,Stoke,2,2,0
Craig Dawson 804,DR,0,0,0,0.0,0.0600727014243602,90,Watford,West Bromwich Albion,0,0,1
Aaron Cresswell 534,DL,0,0,0,0.0,0.0301502998918294,90,West Ham,Leicester,1,2,1
Angelo Ogbonna 528,DC,0,0,0,0.0,0.0,90,West Ham,Leicester,1,2,0
Jeffrey Schlupp 757,DL,0,0,1,0.0207764003425836,0.1935220062732696,90,West Ham,Leicester,1,2,1
Joel Ward 510,DR,1,0,2,0.1223179996013641,0.0,90,Crystal Palace,Arsenal,1,2,0
César Azpilicueta 681,DL,0,0,0,0.0,0.0272007994353771,90,Manchester City,Chelsea,3,0,1
James Milner 489,DMC,0,0,2,0.1660100072622299,0.0268568005412817,90,Liverpool,Bournemouth,1,0,1
Jordan Henderson 605,DMC,0,1,1,0.0268568005412817,0.5297859907150269,53,Liverpool,Bournemouth,1,0,1
Joseph Gomez 987,DL,0,0,0,0.0,0.0,90,Liverpool,Bournemouth,1,0,0
Nathaniel Clyne 603,DR,0,0,1,0.0261288993060588,0.4758009910583496,90,Liverpool,Bournemouth,1,0,1
Steve Cook 458,DC,0,0,1,0.0361896008253097,0.0,90,Liverpool,Bournemouth,1,0,0
Jack Colback 767,DMC,0,0,0,0.0,0.0,90,Manchester United,Newcastle United,0,0,0
Luke Shaw 1006,DL,0,0,1,0.0692462995648384,0.0569804012775421,90,Manchester United,Newcastle United,0,0,2
Jonjo Shelvey 769,DMC,0,0,3,0.0880419984459877,0.7163270115852356,90,Sunderland,Swansea,1,1,4
James McArthur 633,DMC,0,0,0,0.0,0.1288730055093765,90,Crystal Palace,Aston Villa,2,1,2
Joel Ward 510,DR,0,0,0,0.0,0.3728120028972626,90,Crystal Palace,Aston Villa,2,1,1
Ben Davies 660,DL,0,0,0,0.0,0.0,90,Leicester,Tottenham,1,1,0
Eric Dier 643,DMC,0,0,1,0.0921858996152877,0.0,90,Leicester,Tottenham,1,1,0
Jeffrey Schlupp 757,DL,0,0,0,0.0,0.0,90,Leicester,Tottenham,1,1,0
Kyle Walker 638,DR,0,0,1,0.0131582003086805,0.3506610095500946,90,Leicester,Tottenham,1,1,3
Aaron Cresswell 534,DL,0,1,0,0.0,0.2625249922275543,90,West Ham,Bournemouth,3,4,3
Angelo Ogbonna 528,DC,0,0,0,0.0,0.0,34,West Ham,Bournemouth,3,4,0
Steve Cook 458,DC,0,0,0,0.0,0.0,90,West Ham,Bournemouth,3,4,0
Craig Dawson 804,DR,0,0,2,0.0752691030502319,0.0,90,West Bromwich Albion,Chelsea,2,3,0
César Azpilicueta 681,DL,1,0,2,0.1399819999933242,0.0,90,West Bromwich Albion,Chelsea,2,3,0
Kurt Zouma 935,DC,0,0,0,0.0,0.0,90,West Bromwich Albion,Chelsea,2,3,0
John Stones 586,DC,0,0,0,0.0,0.0,90,Everton,Manchester City,0,2,0
Seamus Coleman 585,DR,0,0,1,0.022486200556159,0.0,90,Everton,Manchester City,0,2,0
Calum Chambers 508,DC,0,0,0,0.0,0.0,90,Arsenal,Liverpool,0,0,0
Joseph Gomez 987,DL,0,0,0,0.0,0.0556758008897304,90,Arsenal,Liverpool,0,0,1
Nathaniel Clyne 603,DR,0,0,1,0.0414283014833927,0.0,90,Arsenal,Liverpool,0,0,0
Jack Colback 767,DMC,0,0,0,0.0,0.0,90,Newcastle United,Arsenal,0,1,0
Craig Dawson 804,DR,0,0,1,0.0133311999961733,0.0,90,Stoke,West Bromwich Albion,0,1,0
Jeffrey Schlupp 757,DL,0,0,2,0.0761070027947425,0.0,90,Bournemouth,Leicester,1,1,0
Steve Cook 458,DC,0,0,0,0.0,0.0,90,Bournemouth,Leicester,1,1,0
César Azpilicueta 681,DL,0,0,0,0.0,0.016253400593996,69,Chelsea,Crystal Palace,1,2,1
James McArthur 633,DMC,0,0,0,0.0,0.0489672012627124,90,Chelsea,Crystal Palace,1,2,2
Joel Ward 510,DR,1,0,1,0.6000049710273743,0.0,90,Chelsea,Crystal Palace,1,2,0
Kurt Zouma 935,DC,0,0,1,0.0639310032129287,0.0,90,Chelsea,Crystal Palace,1,2,0
Aaron Cresswell 534,DL,0,1,2,0.1549549996852874,0.4443269968032837,90,Liverpool,West Ham,0,3,2
Angelo Ogbonna 528,DC,0,0,0,0.0,0.0,90,Liverpool,West Ham,0,3,0
James Tomkins 530,DR,0,0,0,0.0,0.0,90,Liverpool,West Ham,0,3,0
Joseph Gomez 987,DL,0,0,1,0.0124465003609657,0.0196892991662025,82,Liverpool,West Ham,0,3,1
Nathaniel Clyne 603,DR,0,0,0,0.0,0.0,90,Liverpool,West Ham,0,3,0
Eric Dier 643,DMC,0,0,2,0.0356869995594024,0.0,90,Tottenham,Everton,0,0,0
John Stones 586,DC,0,0,0,0.0,0.0,90,Tottenham,Everton,0,0,0
Kyle Walker 638,DR,0,0,0,0.0,0.0,90,Tottenham,Everton,0,0,0
Seamus Coleman 585,DR,0,0,0,0.0,0.0,90,Tottenham,Everton,0,0,0
Cédric Soares 847,DR,0,0,0,0.0,0.5200780034065247,75,Southampton,Norwich,3,0,2
James Ward-Prowse 843,DMC,0,0,2,0.0989750996232032,0.2096199989318847,90,Southampton,Norwich,3,0,3
Matt Targett 884,DL,0,0,0,0.0,0.0,90,Southampton,Norwich,3,0,0
Oriol Romeu 842,DMC,0,0,2,0.0822027027606964,0.0,90,Southampton,Norwich,3,0,0
Jonjo Shelvey 769,DMC,0,0,3,0.0596845000982284,0.1283649951219558,90,Swansea,Manchester United,2,1,1
Luke Shaw 1006,DL,0,1,0,0.0,0.6221269965171814,90,Swansea,Manchester United,2,1,2
César Azpilicueta 681,DL,0,0,1,0.0876156985759735,0.0,90,Everton,Chelsea,3,1,0
John Stones 586,DC,0,0,1,0.0218981001526117,0.0,90,Everton,Chelsea,3,1,0
Kurt Zouma 935,DC,0,0,2,0.1035709977149963,0.0,90,Everton,Chelsea,3,1,0
Seamus Coleman 585,DR,0,0,2,0.0510456003248691,0.0805941000580787,79,Everton,Chelsea,3,1,1
James McArthur 633,DMC,0,0,1,0.0069492501206696,0.0,90,Crystal Palace,Manchester City,0,1,0
Jonjo Shelvey 769,DMC,0,0,3,0.0889898017048835,0.0,90,Watford,Swansea,1,0,0
Craig Dawson 804,DR,0,0,2,0.1403650045394897,0.0877785980701446,90,West Bromwich Albion,Southampton,0,0,1
Cédric Soares 847,DR,0,0,0,0.0,0.0,77,West Bromwich Albion,Southampton,0,0,0
Jonny Evans 807,DC,0,0,0,0.0,0.0,88,West Bromwich Albion,Southampton,0,0,0
Matt Targett 884,DL,0,0,0,0.0,0.0309859998524189,90,West Bromwich Albion,Southampton,0,0,1
Virgil van Dijk 833,DC,0,0,1,0.0639858022332191,0.0,90,West Bromwich Albion,Southampton,0,0,0
Adam Smith 825,DL,0,0,0,0.0,0.0434665009379386,90,Norwich,Bournemouth,3,1,1
Steve Cook 458,DC,1,0,1,0.0377085991203784,0.1154180020093917,90,Norwich,Bournemouth,3,1,1
Joseph Gomez 987,DL,0,0,0,0.0,0.0,90,Manchester United,Liverpool,3,1,0
Luke Shaw 1006,DL,0,0,0,0.0,0.0,90,Manchester United,Liverpool,3,1,0
Nathaniel Clyne 603,DR,0,0,1,0.0126556996256113,0.0,90,Manchester United,Liverpool,3,1,0
Ben Davies 660,DL,0,0,0,0.0,0.0163685996085405,90,Sunderland,Tottenham,0,1,1
Eric Dier 643,DMC,0,0,1,0.0452682003378868,0.0,90,Sunderland,Tottenham,0,1,0
Kyle Walker 638,DR,0,0,0,0.0,0.0590891987085342,90,Sunderland,Tottenham,0,1,1
Jeffrey Schlupp 757,DL,0,0,1,0.016117600724101,0.0940662994980812,90,Leicester,Aston Villa,3,2,1
Aaron Cresswell 534,DL,0,0,2,0.0933829024434089,0.0,90,West Ham,Newcastle United,2,0,0
Angelo Ogbonna 528,DC,0,0,0,0.0,0.0,41,West Ham,Newcastle United,2,0,0
Cheikhou Kouyaté 532,DMC,0,0,0,0.0,0.1486800014972686,90,West Ham,Newcastle United,2,0,1
Jack Colback 767,DMC,0,0,1,0.072561003267765,0.0153801003471016,90,West Ham,Newcastle United,2,0,1
James Tomkins 530,DR,0,0,0,0.0,0.0244356002658605,90,West Ham,Newcastle United,2,0,1
César Azpilicueta 681,DL,0,0,0,0.0,0.0269591007381677,90,Chelsea,Arsenal,2,0,1
Kurt Zouma 935,DC,1,0,2,0.3592750132083893,0.0,90,Chelsea,Arsenal,2,0,0
Jack Colback 767,DMC,0,0,0,0.0,0.0,90,Newcastle United,Watford,1,2,0
Craig Dawson 804,DR,0,0,0,0.0,0.1791030019521713,90,Aston Villa,West Bromwich Albion,0,1,3
Jonny Evans 807,DC,0,0,0,0.0,0.0,90,Aston Villa,West Bromwich Albion,0,1,0
Steve Cook 458,DC,0,0,0,0.0,0.0,90,Bournemouth,Sunderland,2,0,0
