player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
Harry Kane 647,FW,0,0,3,0.1821906566619873,0.2973036766052246,90,Manchester United,Tottenham,1,0,1
Callum Wilson 468,FW,0,0,2,0.1315660029649734,0.0,90,Bournemouth,Aston Villa,0,1,0
Jordan Ayew 672,FWR,0,0,0,0.0,0.0,60,Bournemouth,Aston Villa,0,1,0
Jamie Vardy 755,FW,1,0,5,0.7740489840507507,0.2807869911193847,85,Leicester,Sunderland,4,2,3
Diego Costa 802,FW,0,0,1,0.0503664016723632,0.0342116989195346,90,Chelsea,Swansea,2,2,1
Jordan Ayew 672,FWR,0,0,1,0.0316169001162052,0.0,90,Aston Villa,Manchester United,0,1,0
Harry Kane 647,FW,0,0,1,0.4999369978904724,0.3189960122108459,66,Tottenham,Stoke,2,2,1
Jamie Vardy 755,FW,0,0,0,0.0,0.3832699954509735,90,West Ham,Leicester,1,2,2
Diego Costa 802,FW,0,0,1,0.0977293029427528,0.1348499953746795,90,Manchester City,Chelsea,3,0,1
Callum Wilson 468,FW,0,0,1,0.0234472006559371,0.1075310036540031,90,Liverpool,Bournemouth,1,0,2
Aleksandar Mitrovic 773,FW,0,0,4,0.274940013885498,0.0,89,Manchester United,Newcastle United,0,0,0
Harry Kane 647,FW,0,0,4,0.1771399974822998,0.2566620111465454,90,Leicester,Tottenham,1,1,3
Jamie Vardy 755,FW,0,1,1,0.0794427022337913,0.1216059997677803,90,Leicester,Tottenham,1,1,3
Callum Wilson 468,FW,3,0,4,1.4775999784469604,0.3973140120506286,90,West Ham,Bournemouth,3,4,1
Diego Costa 802,FW,1,1,4,0.9622390270233154,0.1618629992008209,80,West Bromwich Albion,Chelsea,2,3,2
Salomón Rondón 813,FW,0,1,3,0.2303009927272796,0.1025549992918968,90,West Bromwich Albion,Chelsea,2,3,1
Philippe Coutinho 488,FWL,0,0,4,0.2180619984865188,0.0521522983908653,89,Arsenal,Liverpool,0,0,1
Roberto Firmino 482,FWR,0,0,2,0.0635247007012367,0.6970490217208862,64,Arsenal,Liverpool,0,0,3
Aleksandar Mitrovic 773,FW,0,0,0,0.0,0.0,15,Newcastle United,Arsenal,0,1,0
Theo Walcott 503,FW,0,0,3,1.061210036277771,0.0,72,Newcastle United,Arsenal,0,1,0
Salomón Rondón 813,FW,1,0,4,0.4485729932785034,0.0,90,Stoke,West Bromwich Albion,0,1,0
Callum Wilson 468,FW,1,0,1,0.1448570042848587,0.0,90,Bournemouth,Leicester,1,1,0
Jamie Vardy 755,FW,1,0,2,0.842989981174469,0.0,90,Bournemouth,Leicester,1,1,0
Diego Costa 802,FW,0,0,2,0.0838508009910583,0.0632202997803688,90,Chelsea,Crystal Palace,1,2,1
Manuel Lanzini 535,FWR,1,0,3,0.4945040047168731,0.0,86,Liverpool,West Ham,0,3,0
Philippe Coutinho 488,FWL,0,0,3,0.1219040006399154,0.0,56,Liverpool,West Ham,0,3,0
Roberto Firmino 482,FWR,0,0,2,0.037380401045084,0.1043270006775856,65,Liverpool,West Ham,0,3,2
Harry Kane 647,FW,0,0,5,0.6369770169258118,0.1484529972076416,90,Tottenham,Everton,0,0,3
Diego Costa 802,FW,0,0,1,0.0495310984551906,0.0255133006721735,90,Everton,Chelsea,3,1,1
Theo Walcott 503,FW,1,0,8,2.2674100399017334,0.0,76,Arsenal,Stoke,2,0,0
Salomón Rondón 813,FW,0,0,1,0.0877785980701446,0.0935719981789588,90,West Bromwich Albion,Southampton,0,0,3
Callum Wilson 468,FW,0,0,2,0.1498800069093704,0.0,90,Norwich,Bournemouth,3,1,0
Danny Ings 986,FWL,0,0,2,0.6945350170135498,0.0,75,Manchester United,Liverpool,3,1,0
Roberto Firmino 482,FWR,0,0,0,0.0,0.0,66,Manchester United,Liverpool,3,1,0
Harry Kane 647,FW,0,0,4,0.4005270004272461,0.0,90,Sunderland,Tottenham,0,1,0
Jamie Vardy 755,FW,1,0,5,0.7943189740180969,0.0294301994144916,90,Leicester,Aston Villa,3,2,2
Diego Costa 802,FW,0,0,2,0.1559630036354065,0.0238937996327877,85,Chelsea,Arsenal,2,0,1
Theo Walcott 503,FW,0,0,3,0.1002969965338707,0.0968090966343879,90,Chelsea,Arsenal,2,0,1
Salomón Rondón 813,FW,0,0,6,0.436491996049881,0.0240844003856182,90,Aston Villa,West Bromwich Albion,0,1,1
Callum Wilson 468,FW,1,0,2,0.0835494026541709,0.0,79,Bournemouth,Sunderland,2,0,0
Jamie Vardy 755,FW,1,0,4,0.1730780005455017,0.0190775003284215,90,Stoke,Leicester,2,2,1
Harry Kane 647,FW,0,0,4,0.2251899987459182,0.0407970994710922,90,Tottenham,Crystal Palace,1,0,1
Anthony Martial 553,FW,2,0,3,0.7281020283699036,0.0,90,Southampton,Manchester United,2,3,0
Harry Kane 647,FW,1,0,4,0.429419994354248,0.0,90,Tottenham,Manchester City,4,1,0
Callum Wilson 468,FW,0,0,0,0.0,0.0,16,Stoke,Bournemouth,2,1,0
Jamie Vardy 755,FW,2,0,6,0.6808680295944214,0.0224594008177518,90,Leicester,Arsenal,2,5,1
Theo Walcott 503,FW,1,0,8,1.2729300260543823,0.1198830008506774,82,Leicester,Arsenal,2,5,2
Danny Ings 986,FW,0,0,3,0.2689110040664673,0.2323179990053177,90,Liverpool,Aston Villa,3,2,2
Jack Grealish 675,FWL,0,0,0,0.0,0.0,70,Liverpool,Aston Villa,3,2,0
Anthony Martial 553,FW,0,1,1,0.0554977990686893,0.969289004802704,90,Manchester United,Sunderland,3,0,2
