player_name,position,goals,assists,shots,xG,xA,time,h_team,a_team,h_goals,a_goals,key_passes
Idrissa Gueye 668,MC,0,0,2,0.1319369971752166,0.0,90,Bournemouth,Aston Villa,0,1,0
Matt Ritchie 461,MR,0,0,2,0.0426697991788387,0.0240359995514154,90,Bournemouth,Aston Villa,0,1,1
Marc Albrighton 753,MR,1,2,2,0.1556809991598129,0.5880910158157349,90,Leicester,Sunderland,4,2,6
Riyad Mahrez 750,ML,2,0,6,1.2469799518585205,0.456743985414505,80,Leicester,Sunderland,4,2,4
James McArthur 633,MC,0,1,0,0.0,0.4788669943809509,90,Norwich,Crystal Palace,1,3,3
Wilfried Zaha 522,MR,1,0,1,0.3921380043029785,0.0,74,Norwich,Crystal Palace,1,3,0
Cheikhou Kouyaté 532,MC,1,0,1,0.2970609962940216,0.1045859977602958,90,Arsenal,West Ham,0,2,2
Idrissa Gueye 668,MC,0,0,1,0.0652979984879493,0.0,90,Aston Villa,Manchester United,0,1,0
Cheikhou Kouyaté 532,MC,0,1,1,0.0301502998918294,0.0990206971764564,79,West Ham,Leicester,1,2,1
Marc Albrighton 753,ML,0,1,2,0.0571536011993885,0.1197319999337196,90,West Ham,Leicester,1,2,1
Riyad Mahrez 750,MR,1,0,3,0.3655630052089691,0.3545199930667877,85,West Ham,Leicester,1,2,2
James McArthur 633,MC,0,1,0,0.0,0.0219120997935533,81,Crystal Palace,Arsenal,1,2,1
Wilfried Zaha 522,MR,0,0,0,0.0,0.4090760052204132,77,Crystal Palace,Arsenal,1,2,1
Matt Ritchie 461,MR,0,0,5,0.1614699959754943,0.0678284987807273,90,Liverpool,Bournemouth,1,0,2
Nathan Redmond 790,MR,0,1,4,0.4836649894714355,0.6903409957885742,90,Norwich,Stoke,1,1,4
Idrissa Gueye 668,MC,0,0,1,0.0215664003044366,0.0467106997966766,90,Crystal Palace,Aston Villa,2,1,1
Marc Albrighton 753,ML,0,0,2,0.0823625028133392,0.0986654981970787,80,Leicester,Tottenham,1,1,1
Riyad Mahrez 750,MR,1,0,4,0.1458390057086944,0.3430590033531189,90,Leicester,Tottenham,1,1,2
Cheikhou Kouyaté 532,MC,1,0,3,0.3884580135345459,0.0,90,West Ham,Bournemouth,3,4,0
Matt Ritchie 461,MR,0,0,2,0.0472677014768123,0.0157660003751516,90,West Ham,Bournemouth,3,4,1
Cédric Soares 847,MR,0,0,2,0.0231346003711223,0.2034229934215545,90,Watford,Southampton,0,0,3
Matt Targett 884,ML,0,0,0,0.0,0.0,90,Watford,Southampton,0,0,0
Oriol Romeu 842,MC,0,0,0,0.0,0.0,90,Watford,Southampton,0,0,0
James Milner 489,MC,0,0,3,0.1796610057353973,0.0767299011349678,90,Arsenal,Liverpool,0,0,2
Idrissa Gueye 668,MC,0,0,2,0.0544023998081684,0.2444059997797012,90,Aston Villa,Sunderland,2,2,5
Marc Albrighton 753,ML,0,0,0,0.0,0.0,73,Bournemouth,Leicester,1,1,0
Matt Ritchie 461,MR,0,0,0,0.0,0.0,90,Bournemouth,Leicester,1,1,0
N&#039;Golo Kanté 751,MC,0,0,0,0.0,0.0442611016333103,90,Bournemouth,Leicester,1,1,1
Riyad Mahrez 750,MR,0,0,0,0.0,0.0,48,Bournemouth,Leicester,1,1,0
Cheikhou Kouyaté 532,MC,0,0,3,0.0943484008312225,0.0,90,Liverpool,West Ham,0,3,0
James Milner 489,MC,0,0,2,0.1223139986395835,0.1332540065050125,90,Liverpool,West Ham,0,3,3
Nathan Redmond 790,MR,0,0,1,0.0241135992109775,0.0140284001827239,90,Southampton,Norwich,3,0,1
James Ward-Prowse 843,MC,0,0,3,0.0781351998448371,0.1536069959402084,90,West Bromwich Albion,Southampton,0,0,2
Junior Stanislas 463,ML,0,0,2,0.1159529983997345,0.0,59,Norwich,Bournemouth,3,1,0
Matt Ritchie 461,MR,0,0,0,0.0,0.0,90,Norwich,Bournemouth,3,1,0
Nathan Redmond 790,MR,0,0,1,0.0181326996535062,0.2178310006856918,90,Norwich,Bournemouth,3,1,3
James Milner 489,MC,0,0,1,0.0363439992070198,0.1896779984235763,90,Manchester United,Liverpool,3,1,2
Marc Albrighton 753,ML,0,0,2,0.0397274009883403,0.1300680041313171,67,Leicester,Aston Villa,3,2,2
Riyad Mahrez 750,MR,0,2,4,0.1244859993457794,0.2259290069341659,90,Leicester,Aston Villa,3,2,4
Ayoze Pérez 770,ML,0,0,2,0.0430384017527103,0.0,90,Newcastle United,Watford,1,2,0
Jack Grealish 675,ML,0,0,2,0.0967928990721702,0.0319964997470378,90,Aston Villa,West Bromwich Albion,0,1,2
Matt Ritchie 461,MR,1,0,3,0.1291979998350143,0.1123429983854293,90,Bournemouth,Sunderland,2,0,1
N&#039;Golo Kanté 751,ML,0,0,1,0.0123808002099394,0.0,87,Stoke,Leicester,2,2,0
Riyad Mahrez 750,MR,1,1,2,0.7953469753265381,0.114716999232769,90,Stoke,Leicester,2,2,3
Manuel Lanzini 535,MC,0,0,0,0.0,0.0285995006561279,74,Manchester City,West Ham,1,2,1
James Milner 489,MC,0,0,2,0.123430997133255,0.0920913964509964,90,Liverpool,Norwich,1,1,2
Nathan Redmond 790,MR,0,0,1,0.0089449798688292,0.3935520052909851,90,Liverpool,Norwich,1,1,2
Nathaniel Clyne 603,MR,0,0,1,0.0101746004074811,0.0,90,Liverpool,Norwich,1,1,0
Jonjo Shelvey 769,MC,0,0,3,0.1170480027794838,0.0245225001126527,83,Southampton,Swansea,3,1,1
Matt Ritchie 461,MR,0,0,5,0.5262269973754883,0.0561101995408535,90,Stoke,Bournemouth,2,1,1
Marc Albrighton 753,ML,0,0,0,0.0,0.1537870019674301,66,Leicester,Arsenal,2,5,1
N&#039;Golo Kanté 751,MC,0,0,1,0.0107816001400351,0.01761220023036,90,Leicester,Arsenal,2,5,1
Riyad Mahrez 750,MR,0,0,4,0.1142690032720565,0.5037689805030823,90,Leicester,Arsenal,2,5,3
Idrissa Gueye 668,MC,0,0,1,0.0273960996419191,0.0,90,Liverpool,Aston Villa,3,2,0
James Milner 489,MC,1,1,2,0.1207809969782829,0.23403300344944,90,Liverpool,Aston Villa,3,2,3
Nathaniel Clyne 603,MR,0,0,1,0.1029419973492622,0.176482006907463,90,Liverpool,Aston Villa,3,2,2
